acto,secuencia,clip,tipo,encuadre,camara,accion,dialogo,dur_seg,acumulado
ACTO 1,1 — ESCENA: Interior muerto del planeta + título,1,ESTABLISHING,"vast space-wide; the planet centered and small, scattered cold stars around it.","an almost imperceptible slow drift toward the world, as if the film is holding its breath.","the camera approaches the serene, beautiful world with reverence; cloud bands turn slowly, light creeps across the terminator line revealing rivers of gold, everything calm, sacred, and utterly alive — the world we are about to lose.",,12,0:12
ACTO 1,1 — ESCENA: Interior muerto del planeta + título,2,ESTÁNDAR,wide descending; the horizon-line of light splitting darkness from gold.,"the camera tips over the edge and falls toward the surface, plunging through luminous clouds.","the descent accelerates gently through cathedral-like clouds, light blooming and scattering around the lens, the world rushing up to meet us — beauty with the faint vertigo of a fall.",,9,0:21
ACTO 1,1 — ESCENA: Interior muerto del planeta + título,3,ESTÁNDAR,"low aerial gliding fast over the living land, then locking onto the dark fissure.",a sweeping forward glide that finds the scar and tilts down toward its mouth.,"the camera skims over forests and shining rivers full of life, then — like a thought intruding — drifts to the dry fissure and tips toward its dark throat, the warmth draining out of frame as it nears.",,9,0:30
ACTO 1,1 — ESCENA: Interior muerto del planeta + título,4,ESTÁNDAR,vertical descent between close rock walls.,"a slow, steady downward dolly into darkness.","the descent leaves the world of light behind, walls sliding upward past the lens, the warm thread of sky narrowing to nothing until only cold rock and shadow remain, deeper and deeper toward something wrong.",,9,0:39
ACTO 1,1 — ESCENA: Interior muerto del planeta + título,5,EMOCIÓN,"a wide reveal opening into the empty dead core, then a slow settle into total black.","the camera glides out into the void and stops, holding on nothing.",the cavern opens impossibly wide and utterly empty; the camera drifts into the void where a heartbeat should be and finds dead stillness; the frame sinks to pure black and holds. Title rises: STELLA FUGAZ.,,11,0:50
ACTO 1,2 — ESCENA: El parque de la luzagua (la utopía),6,ESTABLISHING,sweeping establishing wide over the utopian city.,a smooth high crane drifting over the glowing canals.,"the camera sails over the living city — citizens crossing bright bridges, light-water curling through the streets, gardens swaying — a whole civilization at peace, breathing in gold; the camera lets us fall in love with what is about to die.",,12,1:02
ACTO 1,2 — ESCENA: El parque de la luzagua (la utopía),7,ACCIÓN,tracking medium-wide following @StellaRopa as she runs.,"energetic lateral tracking alongside her, grass and light streaking past.","cutting from the dead black to blue sky and a peal of laughter, @StellaRopa sprints barefoot across the park, white braid snapping behind her, leaping a low rise, arms wide, pure unguarded joy in every stride as light and pollen scatter around her.",,7,1:09
ACTO 1,2 — ESCENA: El parque de la luzagua (la utopía),8,ESTÁNDAR,lyrical medium of hands cupping and releasing flowing light-water.,a slow loving glide along the river's surface.,"citizens dip their hands into the luzagua and let it run through their fingers, never closing their fists, the light streaming off their palms and rejoining the river — the world's quiet law shown without a word, beautiful and serene.",,9,1:18
ACTO 1,2 — ESCENA: El parque de la luzagua (la utopía),9,ACCIÓN,"medium on @StellaRopa's wrist and bright face, then a quick playful follow.",snap-follow as @Gix darts upward and away.,"@StellaRopa taps the @Brazalete on her wrist; with a soft chime @Gix blooms out of the air like a struck spark, spirals once around her head, then zips off between the trees — and she breaks into a laughing chase, swatting playfully at the light.",,7,1:25
ACTO 1,2 — ESCENA: El parque de la luzagua (la utopía),10,ESTÁNDAR,"medium on @VeraRopa walking calmly, @StellaRopa a bright blur in the distance.",a gentle dolly keeping pace with @VeraRopa.,"@VeraRopa strolls unhurried behind her daughter, fond and easy, watching the small running figure with a mother's quiet pride, and calls ahead with a teasing warmth.",,9,1:34
ACTO 1,2 — ESCENA: El parque de la luzagua (la utopía),11,ACCIÓN,"medium on @StellaRopa, half-turned over her shoulder mid-run.",a light handheld follow keeping her grinning face in frame.,"@StellaRopa runs backward a few steps, turning to flash a cocky, sweet grin at her mother, chin up with the easy arrogance of a kid who has never lost anything yet.",,7,1:41
ACTO 1,2 — ESCENA: El parque de la luzagua (la utopía),12,ESTÁNDAR,wide; a vast shadow sweeps across @StellaRopa as she stops.,a slow push as the shadow swallows her small figure.,"@StellaRopa skids to a stop as a huge shadow rolls over her; she lifts her gaze and the camera reveals the towering @MechaFlores — a war machine the size of a building, kneeling, its armor cracked open with flowers, petals drifting down from its shoulders like slow snow.",,9,1:50
ACTO 1,2 — ESCENA: El parque de la luzagua (la utopía),13,ESTÁNDAR,"low-angle wide (contrapicado), wide lens; @StellaRopa tiny in the lower frame, dwarfed by the giant overhead.","a slow tilt-up combined with a gentle push-in, scaling the machine.","@StellaRopa cranes her neck all the way back to take in the giant, mouth slightly open, a flower spiralling down past her face; small and curious beneath the sleeping war-machine, she asks aloud, almost to herself, the question of a generation born after the wars.",,9,1:59
ACTO 1,2 — ESCENA: El parque de la luzagua (la utopía),14,ESTÁNDAR,"tender two-shot, @VeraRopa crouching to @StellaRopa's height.",a slow push into an intimate medium of their faces.,"@VeraRopa kneels to her daughter's level, brushing a petal from Stella's hair, her smile fading into something honest and a little sad as she answers — the first time the girl hears the weight under the legend.",,9,2:08
ACTO 1,2 — ESCENA: El parque de la luzagua (la utopía),15,ESTÁNDAR,"medium two-shot; @VeraRopa gestures to the river, linking their faces to the flowing light.",a slow dolly that ties them to the moving water.,"@VeraRopa scoops a handful of luzagua and lets it stream back into the river, the light pouring off her fingers, as she gives Stella the one law of their people — gentle, deliberate, planting the seed that will decide everything.",,9,2:17
ACTO 1,2 — ESCENA: El parque de la luzagua (la utopía),16,EMOCIÓN,"medium that ends settling on @VeraRopa alone, watching her daughter go.",a slow drift to static on @VeraRopa's face.,"already chasing @Gix again, @StellaRopa waves and shouts over her shoulder as she runs off; @VeraRopa answers, then the camera lingers on her — a mother watching her child recede into the gold, a fond, faintly sad smile that we, and only we, know is the last of the good days.",,11,2:28
ACTO 1,3 — ESCENA: El laboratorio de Naio (la verdad y la huida),17,ESTABLISHING,"wide establishing of the lab interior, the holograms floating like cold ghosts.",a slow drift revealing the space and the rotating data.,"the camera glides through the silent laboratory, past slowly turning holographic readouts and pale instruments, the temperature of the whole film dropping — a place where something has already gone quietly, terribly wrong.",,12,2:40
ACTO 1,3 — ESCENA: El laboratorio de Naio (la verdad y la huida),18,ESTÁNDAR,medium on the door as @StellaRopa steps in.,a step-in follow as she crosses the threshold.,"the door breathes open and @StellaRopa strolls in still laughing, @Gix looping around her shoulders, the warmth of the park trailing in with her for one more second before the cold of the room reaches her.",,9,2:49
