bloque,acto,secuencia,planos,n_planos,entra,sale,dur_seg,accion,dialogo
1,ACTO 1,SEC 1 — Descenso al corazón muerto,1-2,2,0:00,0:13,13,Negro total / Una línea de luz raja la oscuridad: el borde de un planeta amaneciendo,
2,ACTO 1,SEC 1 — Descenso al corazón muerto,3-4,2,0:13,0:28,15,"La cámara cae hacia el planeta, atraviesa nubes doradas que se abren c / Sobrevuelo de cordilleras vivas, crestas nevadas encendidas por el ama",
3,ACTO 1,SEC 1 — Descenso al corazón muerto,5-6,2,0:28,0:41,13,"Bosques que respiran: copas ondulando como oleaje verde, bruma subiend / La cámara encuentra una grieta: una fractura seca en la corteza, como ",
4,ACTO 1,SEC 1 — Descenso al corazón muerto,7-8,2,0:41,0:55,14,"Bajamos por la grieta / Textura de roca deslizándose: vetas grises, luego negras",
5,ACTO 1,SEC 1 — Descenso al corazón muerto,9-10,2,0:55,1:13,18,Más hondo / Llegamos al centro del mundo: una caverna negra y sin fondo donde debe,
6,ACTO 1,SEC 1 — Descenso al corazón muerto,11-12,2,1:13,1:30,17,"El vacío negro sostenido / Sobre el negro, aparece el título: STELLA FUGAZ",
7,ACTO 1,SEC 2 — Parque de la Luzagua,13-16,4,1:30,1:48,18,"CORTE BRUSCO: un cielo azul, abierto, deslumbrante / @Stella (14) corre descalza por la hierba de un parque, pelo blanco al  / Junto a ella corre un río de luzagua: agua y luz a la vez, que la gent / @Stella se toca el brazalete en la muñeca",
8,ACTO 1,SEC 2 — Parque de la Luzagua,17-21,5,1:48,2:07,19,"Del aire se enciende @Gix, criatura de luz mitad chispa mitad travesura / @Stella va tras @Gix, riendo, esquivando a la gente que pasea entre la l / Detrás, sin apuro, camina @Vera (~40, pelo blanco recogido, ojos gris-a / @Vera observa a su hija correr / @Stella, de espaldas, sin frenar, la voz llena de sol","Despacio. Te vas a partir la cabeza el día antes de tu última prueba. | Mamá, soy la mejor de mi nivel. Te voy a hacer sentir orgullosa."
9,ACTO 1,SEC 2 — Parque de la Luzagua,22-24,3,2:07,2:24,17,"@Stella se detiene de golpe / Un MECHA colosal, máquina de guerra antigua, arrodillada para siempre, / Flores trepando por el metal oxidado del mecha, una enredadera meciénd",
10,ACTO 1,SEC 2 — Parque de la Luzagua,25-28,4,2:24,2:43,19,"@Stella pequeñita al pie del gigante, mirándolo hacia arriba / @Stella, sin dejar de mirar arriba, pregunta / @Vera la alcanza / @Vera, a la altura de su hija, eligiendo las palabras",¿Por qué dejamos de hacerlo? Conquistar planetas. Éramos los más fuertes del cielo. | Eso no es tan romántico como suena. Lo quisimos todo… y por poco nos quedamos sin nada.
11,ACTO 1,SEC 2 — Parque de la Luzagua,29-32,4,2:43,3:01,18,"La mano de @Vera muestra el río de luzagua corriendo entre los dedos de / @Vera sostiene la mirada de su hija / @Stella asiente muy seria… pero los ojos ya se le escapan hacia otra pa / @Gix la llama desde la rama de un árbol, parpadeando, travieso","Una persona es como un río, @Stella. Si lo represas para ti, se pudre. | Y envenena a todos los que están aguas abajo."
12,ACTO 1,SEC 2 — Parque de la Luzagua,33-36,4,3:01,3:20,19,"@Vera lo nota / @Vera, todavía agachada, en voz suave / @Stella ya corriendo, girando el cuello para gritar por encima del homb / @Stella se aleja riendo, blanca contra el verde, cada vez más pequeña",Voy por tu hermana. Nos vemos en casa para la cena. | ¡Dile a @Selka que esta vez le gané a @Gix!
13,ACTO 1,SEC 2 — Parque de la Luzagua,37-38,2,3:20,3:35,15,"La cámara se queda en @Vera mirándola / El río de luzagua sigue corriendo, indiferente, brillando bajo el sol",
14,ACTO 1,SEC 3 — Laboratorio de @Naio,39-42,4,3:35,3:54,19,"La puerta del laboratorio se abre / @Stella entra ligera, la risa aún en la boca / La risa se le apaga sola / POV de @Stella: @Vera y @Naio (~45) de pie frente a una proyección de dat","Me mandaron llamar, ¿qué es tan importante que no puede esp—"
