clip,title,prompt
1,establishing del planeta,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @Erdia — match its architecture, materials, colors; lush, detailed, painterly background. The whole luminous living planet seen from space, golden continents and glowing rivers under soft clouds. Shot/lens: vast space-wide; the planet centered, small stars around. Camera: very slow drift toward the planet. Light: soft cosmic dawn light rimming the planet's edge. Action: the camera approaches the serene, beautiful world — pure calm. Mood: sacred, awe, ""before."" Audio: SFX only — deep space hum, faint shimmering tone. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
2,caída entre nubes,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @Erdia — match its architecture, materials, colors; lush, detailed, painterly background. Upper atmosphere at dawn, golden clouds. Shot/lens: wide; a thin line of light cracks the dark as the planet's edge catches dawn. Camera: the camera falls toward the surface through golden clouds. Light: warm dawn breaking into gold. Action: descent begins, light blooming across the world. Mood: majestic, descending. Audio: SFX only — wind rising, distant atmosphere. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
3,la grieta seca,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @Erdia — match its architecture, materials, colors; lush, detailed, painterly background. Living golden surface — mountains, breathing forests, glowing rivers — and a single dry fissure, a scar, cutting through it. Shot/lens: aerial wide gliding over the living land, finding the fissure. Camera: glide forward, then tilt down into the fissure's mouth. Light: warm gold above, shadow deepening in the crack. Action: beauty of the surface, then the camera locks onto the wrong thing — the scar. Mood: wonder turning to unease. Audio: SFX only — wind, distant water, a low ominous note as the crack appears. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
4,descenso por la grieta,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @Erdia — match its architecture, materials, colors; lush, detailed, painterly background. Interior of the deep rocky fissure, walls passing. Shot/lens: vertical descent, rock walls on both sides. Camera: slow downward dolly into darkness. Light: light shifting golden → grey → near-black as it descends. Action: the descent leaves the light behind, deeper and deeper. Mood: dread, sinking. Audio: SFX only — echoing drips, deep rumble, fading wind. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
5,el corazón hueco + título,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @Erdia — match its architecture, materials, colors; lush, detailed, painterly background. The planet's core: a vast black hollow cavern where a planet's heart should beat — utterly dead, lifeless. Shot/lens: wide reveal of the empty dead core, then settle into total black. Camera: slow settle, holding on the void. Light: almost none — last embers of light swallowed by black. Action: reveal that the core is dead; hold on black. Title appears: STELLA FUGAZ. Mood: ominous, hollow, sacred dread. Audio: SFX only — a single deep heartbeat that does NOT repeat, then silence. No music. Negative: no blood, no gore, no guns, no watermark. (Title card ""STELLA FUGAZ"" is the only allowed text.)"
6,establishing de la ciudad dorada,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @CiudadDorada — match its architecture, materials, colors; lush, detailed, painterly background. A warm golden naiel city; glowing luzagua canals running between airy plazas; people strolling. Shot/lens: sweeping establishing wide of the utopian city. Camera: smooth crane/drift over the canals. Light: bright warm morning, glowing water reflections. Action: the living, peaceful city — the world worth losing. Mood: utopian warmth. Audio: SFX only — gentle city ambience, flowing luzagua, distant voices. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
7,Stella corre,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @ParqueLuzagua — match its architecture, materials, colors; lush, detailed, painterly background. Vast green park, a luzagua river beside the grass. Characters: @Stella — match her design, braid, freckles, suit exactly. Shot/lens: tracking medium-wide following @Stella running. Camera: lateral tracking alongside her, energetic. Light: bright blue-sky day, warm sun. Action: cut from black to blue sky and laughter; @Stella sprints barefoot across the park, white braid flying, joyful. Mood: pure joy, freedom. Audio: SFX only — laughter, running footsteps on grass, breeze. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
8,el río de luzagua,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @ParqueLuzagua — match its architecture, materials, colors; lush, detailed, painterly background. The luzagua river — water-and-light flowing — with people letting the light run through their hands. Shot/lens: lyrical medium of hands and flowing light-water. Camera: slow glide along the river. Light: glowing water casting warm light on faces. Action: citizens let the luzagua pass through their fingers, never holding it — the world's quiet law, shown not told. Mood: serene, thematic. Audio: SFX only — flowing water, soft shimmering tones. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
9,aparece Gix,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @ParqueLuzagua — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Stella; @Gix — small warm being of light. Shot/lens: medium on @Stella's wrist and face. Camera: quick playful follow as @Gix darts off. Light: sunny, @Gix adds a warm glow. Action: @Stella taps her @Brazalete; @Gix ignites from the air and zips away; she laughs and chases it. Mood: playful, tender. Audio: SFX only — a soft chime as Gix appears, Stella's delighted laugh. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
10,Vera detrás,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @ParqueLuzagua — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Vera — match her design exactly; @Stella in the background. Shot/lens: medium on @Vera walking calmly, @Stella small ahead. Camera: gentle dolly with @Vera. Light: warm day. Action: @Vera strolls behind her daughter, fond and unhurried, and calls ahead. Dialogue (@Vera): ""Easy — you'll crack your head open the day before your final test."" Mood: warm, maternal. Audio: SFX only — park ambience, breeze. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
